Norm;L0.#;Automated requirement name;Present;Support;Hallucination;Rationale
Help messages during the {log-on procedure} must not aid an unauthorized user, e.g., by indicating which {parts of the data} are correct or incorrect;L0.1.1;Secure Log-on Feedback for Factory Employees;Yes;H.1.1;;
;L0.1.2;Protection of Sensitive Information during Employee Authentication;Yes;H.1.1;;Homogeneous to previous
A security incident must be raised if a potential attempted or successful breach of {log-on controls} is detected, and, when the risk of the incident warrants it, the account shall be temporarily restricted, plus an alert shall be sent to the {account owner}, and to the {organization's system administrators}.;L0.2.1;Access Gate Breach Detection;Yes;H.2.1;;Somewhat restrictive to access gate
;L0.2.2;Security Breach Notification to Employees;Yes;H.2.1;;
;L0.2.3;Security Event Logging;No;;No;
Physical or logical access controls must be implemented to isolate {sensitive applications, data, or systems}.;L0.3.1;Access Control for Sensitive Data Stores;Yes;H.3.1;;
;L0.3.2;Factory IT Infrastructure Access Control;Yes;"H.3.2; H.3.5";;
;L0.3.3;Physical Access Control for Factory Premises;No;;Yes;Factory access is out-of-the-scope of system cybersecurity nfrs
{Access to data} must be controlled based on {user identity, group membership, and assigned roles};L0.4.1;Role-Based Access Control for Factory Datastores;Yes;"H.4.1; H.4.2; H.4.3; H.4.4; H.4.5";;
;L0.4.2;Factory Employee Access to Datastores;Yes;"H.4.1; H.4.2; H.4.3; H.4.4; H.4.5";;
;L0.4.3;Role-Based Access Control for External Entities;No;;No;Dealer RBAC
;L0.4.4;System Admin Access Control;No;;No;
;L0.4.5;Operations Manager Access Control;No;;No;
;L0.4.6;Security Manager Access Control;No;;No;
The {organization} shall maintain a record of {all privileges allocated};L0.5.1;Record of Access Privileges for Car Manufacturer Employees;Yes;"H.5.1; H.5.2";;
;L0.5.2;Record of Privileges for Factory System Admins;No;;No;
;L0.5.3;Record of Role-Based Permissions for Employee Roles;Yes;H.5.1;;Homogeneous to L0.5.1
;L0.5.4;Record of Access Privileges for Forwarder Contractors;No;;Yes;Forwarder is out-of-the-scope of SOT
The {organization} shall regularly review {users} with privileged access rights to ensure that their {duties}, {roles}, {responsibilities}, and {competence} still justify such access;L0.6.1;Regular Review of Privileged Access Rights;Yes;H.6.1;;
;L0.6.2;Justification of Privileged Access Rights;No;;No;
{Connection} of {systems} to the {network} must be restricted and filtered, e.g., using firewalls.;L0.7.1;Factory Network Connection Restriction and Filtering;Yes;H.7.1;;
;L0.7.2;Secure IT Infrastructure Configuration;No;;No;Securize internal net
;L0.7.3;Filtered Network Access for IoT Middleware Platforms;No;;No;
;L0.7.4;Secure Network Access for AGVs and Robots;No;;No;
{Network administration channels} must be segregated from {other network traffic};L0.8.1;Segregation of System Admin Network Channels;Yes;H.8.1;;
;L0.8.2;Isolation of Network Administration from Logistics Network Traffic;No;;No;Nets must not only be segregated but also isolated
Implement cryptographic measures to safeguard {information stored} on {mobile user} {endpoint devices} or {storage media} and transmitted over {networks};L0.9.1;Cryptographic Protection of Warehouse Inventory Data;Yes;H.9.1;;
;L0.9.2;Secure Communication for Handheld Devices;Yes;H.9.2;;
;L0.9.3;Encryption of AIDC Data Carriers;Yes;H.9.1;;
;L0.9.4;Secure Transmission of Production Plans and Shipment Details;Partial;H.9.3;No;Partial hall.
Establish a comprehensive key management system, including procedures for generating and protecting {cryptographic keys} and recovering {encrypted data} in case of lost, compromised, or damaged {keys};L0.10.1;Comprehensive Key Management for Factory IT Infrastructure;Yes;H.10.3;;
;L0.10.2;Secure Key Management for Automated Systems;No;;No;
;L0.10.3;Key Management Roles and Responsibilities;Yes;H.10.1;;
Totals;;;14;;2;
