Norm;Q1.#;Automated requirement name;Present;Support;Hallucination;Rationale
Help messages during the {log-on procedure} must not aid an unauthorized user, e.g., by indicating which {parts of the data} are correct or incorrect;Q1.1.1;SecureLogOnFeedback;Yes;H.1.1;;
A security incident must be raised if a potential attempted or successful breach of {log-on controls} is detected, and, when the risk of the incident warrants it, the account shall be temporarily restricted, plus an alert shall be sent to the {account owner}, and to the {organization's system administrators}.;Q1.2.1;EnhancedLogOnControlsSurveillance;Yes;H.2.1;;
Physical or logical access controls must be implemented to isolate {sensitive applications, data, or systems}.;Q1.3.1;AccessControlForFactoryITInfrastructure;Yes;H.3.2;;
;Q1.3.2;SecureProductionPlanDataStore;Yes;H.3.1;;
;Q1.3.3;WarehouseInventoryAccessControl;Yes;H.3.1;;
;Q1.3.4;ProtectFinishedCarRegistry;Yes;H.3.1;;
;Q1.3.5;SecurePurchaseAndTransportOrderDataStores;Yes;H.3.1;;
;Q1.3.6;AccessGateAndDockSecurityControls;No;;Yes;Out of scope
;Q1.3.7;SecureInboundAndOutboundLogisticProcesses;No;;Yes;Out of scope
;Q1.3.8;SecureIoTMiddlewarePlatforms;No;;No;
;Q1.3.9;RoleBasedAccessControlForEmployees;No;;Yes;Unrelated
{Access to data} must be controlled based on {user identity, group membership, and assigned roles};Q1.4.1;Role-Based Access Control Implementation;Yes;H.4.7;;
The {organization} shall maintain a record of {all privileges allocated};Q1.5.1;PrivilegeAllocationRecordMaintenance;Yes;"H.5.1; H.5.2";;
The {organization} shall regularly review {users} with privileged access rights to ensure that their {duties}, {roles}, {responsibilities}, and {competence} still justify such access;Q1.6.1;Regular Review of Privileged Access Rights;Yes;H.6.1;;Includes irrelevant periodicity
{Connection} of {systems} to the {network} must be restricted and filtered, e.g., using firewalls.;Q1.7.1;Network_Access_Control;Yes;H.7.1;;
{Network administration channels} must be segregated from {other network traffic};Q1.8.1;Segregation of Factory Network Administration Channels;Yes;H.8.1;;
Implement cryptographic measures to safeguard {information stored} on {mobile user} {endpoint devices} or {storage media} and transmitted over {networks};Q1.9.1;SecureCommunicationAndDataProtection;Yes;"H.9.1; H.9.3";;
Establish a comprehensive key management system, including procedures for generating and protecting {cryptographic keys} and recovering {encrypted data} in case of lost, compromised, or damaged {keys};Q1.10.1;Secure Key Lifecycle Management;Yes;H.10.3;;
;Q1.10.2;Resilient Key Recovery Mechanisms;No;;No;
;Q1.10.3;Secure Data Store Encryption;No;;Yes;Unrelated
;Q1.10.4;Secure Communication Channels;No;;Yes;Unrelated
Totals;;;14;;5;
