H.#,M1.#
H.1.1,M1.1.1
H.1.2,None
H.2.1,M1.2.1
H.2.1,M1.2.2
H.2.1,M1.2.3
H.2.1,M1.2.4
H.2.2,None
H.3.1,M1.3.1
H.3.1,M1.3.2
H.3.1,M1.3.3
H.3.2,None
H.3.3,None
H.3.4,None
H.3.5,None
H.4.1,M1.4.1
H.4.1,M1.4.2
H.4.1,M1.4.3
H.4.1,M1.4.4
H.4.2,M1.4.1
H.4.2,M1.4.2
H.4.2,M1.4.3
H.4.2,M1.4.4
H.4.3,M1.4.1
H.4.3,M1.4.2
H.4.3,M1.4.3
H.4.3,M1.4.4
H.4.4,M1.4.1
H.4.4,M1.4.2
H.4.4,M1.4.3
H.4.4,M1.4.4
H.4.5,M1.4.1
H.4.5,M1.4.2
H.4.5,M1.4.3
H.4.5,M1.4.4
H.4.6,None
H.4.7,M1.4.1
H.4.7,M1.4.2
H.4.7,M1.4.3
H.4.7,M1.4.4
H.4.8,None
H.5.1,M1.5.1
H.5.1,M1.5.2
H.5.2,None
H.6.1,M1.6.1
H.7.1,M1.6.2
H.7.1,M1.6.3
H.7.2,M1.6.2
H.7.2,M1.6.3
H.7.3,M1.6.4
H.8.1,M1.8.1
H.9.1,M1.9.1
H.9.1,M1.9.2
H.9.1,M1.9.3
H.9.2,None
H.9.3,M1.9.1
H.9.3,M1.9.2
H.9.3,M1.9.3
H.10.1,M1.10.1
H.10.2,None
H.10.3,None
