L0.#,H.#
L0.1.1,H.1.1
L0.1.2,H.1.1
L0.2.1,H.2.1
L0.2.2,H.2.1
L0.2.3,None
L0.3.1,H.3.1
L0.3.2,H.3.2
L0.3.2,H.3.5
L0.3.3,None
L0.4.1,H.4.1
L0.4.1,H.4.2
L0.4.1,H.4.3
L0.4.1,H.4.4
L0.4.1,H.4.5
L0.4.2,H.4.1
L0.4.2,H.4.2
L0.4.2,H.4.3
L0.4.2,H.4.4
L0.4.2,H.4.5
L0.4.3,None
L0.4.4,None
L0.4.5,None
L0.4.6,None
L0.5.1,H.5.1
L0.5.1,H.5.2
L0.5.2,None
L0.5.3,H.5.1
L0.5.4,None
L0.6.1,H.6.1
L0.6.2,None
L0.7.1,H.7.1
L0.7.2,None
L0.7.3,None
L0.7.4,None
L0.8.1,H.8.1
L0.8.2,None
L0.9.1,H.9.1
L0.9.2,H.9.2
L0.9.3,H.9.1
L0.9.4,H.9.3
L0.10.1,H.10.3
L0.10.2,None
L0.10.3,H.10.1
