#,G0_i,G0_ii,G0_iii,G0_iv,Hallucination
H.1.1,P,X,X,X,No
H.2.1,P,X,X,P,No
G0.2.2,X,,,,Yes
G0_iii.2.3,,,X,,Yes
H.3.1,X,X,X,X,No
H.3.2,,,,X,No
H.3.4,X,X,,P,No
GS.3.6,,,X,,No
G0_iii.3.2,,,X,,Yes
G0_iv.3.3,,,,X,Yes
H.4.7,,X,X,P,No
H.4.8,P,P,,,No
GS.4.19,X,,X,X,No
G0.4.1,X,,,,Yes
G0.4.2,X,,,,Yes
G0_iv.4.2,,,,X,Yes
H.5.1,X,X,X,X,No
H.5.2,X,X,X,X,No
GS.5.6,,,X,,No
GS*.5.7,,,X,,No
G0_iv.5.2,,,,X,Yes
G0_iv.5.3,,,,X,Yes
H.6.1,X,X,X,X,No
GS.6.4,X,,X,,No
G0.6.3,X,,,,Yes
H.7.1,X,X,X,X,No
H.7.2,X,X,X,X,No
H.7.3,X,,X,X,No
H.8.1,X,X,X,X,No
H.9.1,X,X,X,X,No
H.9.3,X,X,X,X,No
GS.9.6,X,X,X,X,No
GS.9.8,X,,,,No
H.10.1,,X,,X,No
H.10.2,P,P,P,P,No
H.10.3,X,,,X,No
GS.10.5,X,X,X,X,No
G0.10.1; G0_iii.10.3; G0_iv.10.2,X,,X,X,Yes
G0_iii.10.1,,,X,,Yes
G0_iv.10.4,,,,X,Yes
