#,L3_i,L3_ii,L3_iii,L3_iv,Hallucination
H.1.1,X,X,X,X,No
GS.1.3,,X,,X,No
L3.1.2,,,X,,Yes
L3.1.5,,X,,,Yes
L3.1.6,,,,X,Yes
H.2.1,X,X,X,X,No
L3.2.4,X,,,,Yes
L3.3.1,X,,,,Yes
H.3.1,X,X,X,X,No
H.3.2,,X,,,No
H.3.4,X,X,X,X,No
H.3.5,,X,,,No
L3.3.3,,X,,X,Yes
L3.3.4,,X,X,,Yes
L3.3.8,,,X,,Yes
L3.3.9,X,,,,Yes
L3.3.10,,,,X,Yes
L3.3.11,,,X,,Yes
L3.3.12,,,,X,Yes
L3.3.13,,,,X,Yes
H.4.1,X,X,X,X,No
H.4.2,X,X,X,X,No
H.4.3,X,X,X,X,No
H.4.4,,,,X,No
H.4.5,X,X,X,X,No
H.4.7,,,,P,No
H.4.8,,X,X,X,No
GS.4.10,X,X,,,No
GS.4.14,X,X,X,X,No
GS.4.20,X,X,X,X,No
GS.4.21,,,,X,No
H.5.1,X,X,X,X,No
GS.5.3,X,,X,,No
GS.5.5,X,,,,No
L3.5.6,,,X,,Yes
L3.5.7,,,X,,Yes
H.6.1,X,X,X,X,No
GS.6.4,,,,X,No
H.7.1,X,X,X,X,No
H.7.2,X,X,,X,No
H.7.3,X,X,X,X,No
GS.7.5,,,,X,No
GS.7.6,,,X,,No
GS.7.9,X,,,,No
GS.7.10,,,X,,No
H.8.1,X,X,X,X,No
GS.8.2,X,X,X,X,No
GS.8.3,,,X,,No
L3.8.3,,X,X,X,Yes
L3.8.5,,,,X,Yes
L3.8.6,,,,X,Yes
H.9.1,X,X,X,X,No
H.9.2,X,X,X,X,No
H.9.3,X,X,X,X,No
GS.9.4,,,,X,No
GS.9.6,X,X,X,X,No
GS.9.7,X,X,X,X,No
L3.9.3,X,,X,,Yes
H.10.2,X,X,X,X,No
H.10.3,X,X,X,X,No
GS.10.5,X,X,X,X,No
L3.10.5,,,X,,Yes
L3.10.6,,,X,X,Yes
L3.10.7,,,X,,Yes
L3.10.8,X,,,X,Yes
L3.10.11,X,X,X,X,Yes
