#,Q0_i,Q0_ii,Q0_iii,Q0_iv,Hallucination
H.1.1,X,X,X,X,No
H.1.2,,,,P,No
H.2.1,P,X,X,P,No
Q0_iii.2.4,,,,X,Yes
H.3.1,P,X,X,P,No
H.3.4,X,X,X,P,No
GS.3.6,X,,,,No
Q0.3.2,X,,,,Yes
Q0.3.7,X,,,,Yes
Q0.3.8,X,,,,Yes
Q0.3.9,X,,,,Yes
Q0_ii.3.2; Q0_iii.3.3; Q0_iv.3.1,,X,X,X,Yes
Q0_ii.3.3,,X,,,Yes
Q0_iii.3.4,,,X,,Yes
Q0_iii.3.5,,,X,,Yes
Q0_iii.3.6,,,X,,Yes
H.4.1,X,P,P,P,No
H.4.2,,P,P,P,No
H.4.3,P,P,P,P,No
H.4.4,X,,P,P,No
H.4.5,X,,P,P,No
H.4.6,,X,,X,No
H.4.7,X,X,X,X,No
H.4.8,P,P,P,P,No
GS.4.15,X,X,X,X,No
GS.4.16,X,X,X,X,No
GS.4.17,X,X,X,X,No
GS.4.18,,,,X,No
Q0.4.2,X,,,,Yes
Q0.4.7,X,,,,Yes
Q0.4.11,X,,,,Yes
Q0.4.12,,,,X,Yes
Q0_ii.4.2,,X,,,Yes
Q0_iii.4.3,,,X,,Yes
Q0_iii.4.4,,,X,,Yes
Q0_iv.4.4,,,,X,Yes
H.5.1,X,X,X,X,No
H.5.2,X,X,X,X,No
GS.5.6,,X,X,,No
H.6.1,X,X,X,X,No
H.7.1,P,P,P,P,No
H.7.3,X,X,X,X,No
Q0_iii.7.2,,,X,,Yes
Q0_iii.7.4,,,X,,Yes
H.8.1,X,X,X,X,No
H.9.1,X,X,X,X,No
H.9.2,X,,,,No
H.9.3,X,X,X,X,No
Q0.9.4,X,,,,Yes
Q0_ii.9.4,,X,,,Yes
H.10.1,,X,X,X,No
H.10.3,X,,,,No
Q0.10.2,X,,,,Yes
Q0.10.3,X,,,,Yes
Q0.10.4,X,,,,Yes
Q0.10.5,X,,,,Yes
Q0.10.6,X,,,,Yes
Q0.10.7,X,,,,Yes
Q0_ii.10.4; Q0_iii.10.3,,X,X,,Yes
Q0_iii.10.2,,,X,,Yes
