G0_ii.#,Present,Hallucination,Hall. Type,Rationale
G0_ii.1.1,Yes,,,
G0_ii.1.2,Yes,,,
G0_ii.1.3,Yes,,,
G0_ii.2.1,Yes,,,
G0_ii.2.2,Yes,,,
G0_ii.2.3,Yes,,,
G0_ii.3.1,Yes,,,
G0_ii.3.2,Yes,,,
G0_ii.3.3,Yes,,,
G0_ii.3.4,Yes,,,
G0_ii.3.5,Yes,,,
G0_ii.3.6,Yes,,,
G0_ii.4.1,Yes,,,
G0_ii.4.2,Yes,,,
G0_ii.4.3,Yes,,,
G0_ii.4.4,Yes,,,
G0_ii.5.1,Yes,,,
G0_ii.6.1,Yes,,,
G0_ii.6.2,Yes,,,
G0_ii.6.3,Yes,,,
G0_ii.7.1,Yes,,,
G0_ii.7.2,Yes,,,
G0_ii.7.3,Yes,,,
G0_ii.7.4,Yes,,,
G0_ii.7.5,Yes,,,
G0_ii.8.1,Yes,,,
G0_ii.9.1,No,No,,
G0_ii.9.2,Yes,,,
G0_ii.9.3,Yes,,,
G0_ii.10.1,Yes,,,
G0_ii.10.2,Partial,No,,
