G0_iii.#,Present,Hallucination,Hall. Type,Rationale
G0_iii.1.1,Yes,,,
G0_iii.1.2,Yes,,,
G0_iii.1.3,Yes,,,
G0_iii.2.1,Yes,,,
G0_iii.2.2,Yes,,,
G0_iii.2.3,No,Yes,Architectural infeasibility,Rambles
G0_iii.3.1,Yes,,,
G0_iii.3.2,No,Yes,Template drift,
G0_iii.3.3,No,No,,
G0_iii.3.4,Yes,,,
G0_iii.3.5,Yes,,,
G0_iii.4.1,Yes,,,
G0_iii.4.2,Yes,,,
G0_iii.4.3,Yes,,,
G0_iii.4.4,Yes,,,
G0_iii.4.5,Yes,,,
G0_iii.4.6,Yes,,,
G0_iii.4.7,Yes,,,
G0_iii.4.8,Yes,,,
G0_iii.4.9,Yes,,,
G0_iii.5.1,Yes,,,
G0_iii.5.2,Yes,,,
G0_iii.5.3,No,No,,
G0_iii.5.4,No,No,,
G0_iii.6.1,Yes,,,
G0_iii.6.2,No,No,,
G0_iii.7.1,Yes,,,
G0_iii.7.2,Yes,,,
G0_iii.8.1,Yes,,,
G0_iii.8.2,Yes,,,
G0_iii.9.1,Yes,,,
G0_iii.9.2,Yes,,,
G0_iii.9.3,No,No,,
G0_iii.9.4,Yes,,,
G0_iii.10.1,No,Yes,Template drift,
G0_iii.10.2,Yes,,,
G0_iii.10.3,No,Yes,Architectural infeasibility,
G0_iii.10.4,Partial,No,,
