L0_ii.#,Present,Hallucination,Hall. Type,Rationale
L0_ii.1.1,Yes,,,
L0_ii.1.2,Yes,,,
L0_ii.2.1,No,Yes,Scope misalignment,
L0_ii.2.2,Yes,,,
L0_ii.2.3,No,Yes,Scope misalignment,
L0_ii.3.1,Yes,,,
L0_ii.3.2,No,Yes,Scope misalignment,
L0_ii.3.3,Yes,,,
L0_ii.3.4,Yes,,,
L0_ii.3.5,Yes,,,
L0_ii.4.1,Yes,,,
L0_ii.4.2,Yes,,,
L0_ii.4.3,Yes,,,
L0_ii.4.4,Yes,,,
L0_ii.5.1,Partial,No,,
L0_ii.5.2,Yes,,,
L0_ii.5.3,Yes,,,
L0_ii.5.4,Yes,,,
L0_ii.5.5,Yes,,,
L0_ii.6.1,Partial,No,,
L0_ii.6.2,No,Yes,Template drift,
L0_ii.7.1,Yes,,,
L0_ii.7.2,No,Yes,Template drift,
L0_ii.7.3,Yes,,,
L0_ii.7.4,Yes,,,
L0_ii.7.5,Yes,,,
L0_ii.7.6,Yes,,,
L0_ii.8.1,Partial,No,,
L0_ii.9.1,Partial,No,,
L0_ii.9.2,Yes,,,
L0_ii.9.3,No,No,,
L0_ii.9.4,Yes,,,
L0_ii.10.1,Partial,,,
L0_ii.10.2,No,No,,
L0_ii.10.3,No,No,,
L0_ii.10.4,No,No,,
L0_ii.10.5,No,No,,
L0_ii.10.6,No,No,,
