L0_iii.#,Present,Hallucination,Hall. Type,Rationale
L0_iii.1.1,Yes,,,
L0_iii.1.2,Yes,,,
L0_iii.2.1,Yes,,,
L0_iii.2.2,No,Yes,Scope misalignment,
L0_iii.2.3,Yes,,,
L0_iii.2.4,Yes,,,
L0_iii.2.5,No,Yes,Scope misalignment,
L0_iii.2.6,Yes,,,
L0_iii.2.7,Yes,,,
L0_iii.2.8,Yes,,,
L0_iii.3.1,Yes,,,
L0_iii.3.2,Yes,,,
L0_iii.3.3,Yes,,,
L0_iii.4.1,Yes,,,
L0_iii.4.2,Yes,,,
L0_iii.5.1,Partial,No,,
L0_iii.5.2,Yes,,,
L0_iii.5.3,Yes,,,
L0_iii.6.1,Partial,No,,
L0_iii.6.2,Partial,No,,
L0_iii.6.3,Partial,No,,
L0_iii.7.1,Yes,,,
L0_iii.7.2,No,Yes,Contextual misfit,
L0_iii.7.3,Yes,,,
L0_iii.7.4,Yes,,,
L0_iii.7.5,No,Yes,Contextual misfit,
L0_iii.7.6,No,No,,
L0_iii.7.7,Yes,,,
L0_iii.7.8,No,Yes,Template drift,
L0_iii.8.1,Yes,,,
L0_iii.8.2,Yes,,,
L0_iii.8.3,No,No,,
L0_iii.8.4,Yes,,,
L0_iii.8.5,No,Yes,Template drift,
L0_iii.9.1,Yes,,,
L0_iii.9.2,Partial,No,,
L0_iii.9.3,Partial,No,,
L0_iii.10.1,No,No,,
L0_iii.10.2,Yes,,,
L0_iii.10.3,No,No,,
L0_iii.10.4,Yes,,,
L0_iii.10.5,No,No,,
