L0x.#,Present,Hallucination,Rationale
L0x.1.1,Yes,,
L0x.1.2,Yes,,
L0x.1.3,Yes,,
L0x.1.4,No,Yes,Unrelated
L0x.2.1,Yes,,
L0x.2.2,No,Yes,
L0x.2.3,Yes,,
L0x.3.1,Yes,,
L0x.3.2,No,Yes,Rambles
L0x.3.3,Yes,,
L0x.3.4,Yes,,
L0x.3.5,No,Yes,Rambles
L0x.3.6,No,Yes,Rambles
L0x.3.7,No,Yes,Rambles
L0x.3.8,No,Yes,Rambles
L0x.3.9,No,Yes,Rambles
L0x.3.10,No,Yes,Rambles
L0x.4.1,Yes,,
L0x.4.2,Yes,,
L0x.4.3,Yes,,
L0x.4.4,No,Yes,Rambles
L0x.4.5,No,Yes,Rambles
L0x.5.1,Yes,,
L0x.5.2,Yes,,
L0x.5.3,Yes,,
L0x.6.1,Yes,,
L0x.7.1,Yes,,
L0x.7.2,No,Yes,Rambles
L0x.7.3,Yes,,
L0x.7.4,No,Yes,Unrelated
L0x.8.1,Yes,,
L0x.9.1,Yes,,
L0x.9.2,No,Yes,Rambles
L0x.9.3,Yes,,
L0x.9.4,No,Yes,Rambles
L0x.9.5,Yes,,
L0x.9.6,Yes,,
L0x.9.7,Yes,,
L0x.10.1,No,Yes,Rambles
L0x.10.2,No,Yes,Rambles
L0x.10.3,No,Yes,Rambles
L0x.10.4,No,Yes,Rambles
L0x.10.5,No,Yes,Rambles
