L0y.#,Present,Hallucination,Rationale
L0y.1.1,Yes,,
L0y.1.2,No,Yes,Rambles
L0y.2.1,No,Yes,Rambles
L0y.2.2,Yes,,
L0y.2.3,Yes,,
L0y.3.1,No,Yes,Rambles
L0y.3.2,No,Yes,Rambles
L0y.3.3,No,Yes,Rambles
L0y.3.4,No,Yes,Rambles
L0y.3.5,No,Yes,Rambles
L0y.3.6,No,Yes,Rambles
L0y.3.7,No,Yes,Rambles
L0y.4.1,Yes,,
L0y.4.2,Yes,,
L0y.4.3,Yes,,
L0y.4.4,Yes,,
L0y.4.5,Yes,,
L0y.4.6,Yes,,
L0y.4.7,Yes,,
L0y.5.1,Yes,,
L0y.5.2,No,Yes,Rambles
L0y.6.1,Yes,,
L0y.6.2,Yes,,
L0y.6.3,Yes,,
L0y.6.4,Yes,,
L0y.6.5,Yes,,
L0y.7.1,Yes,,
L0y.7.2,No,Yes,Rambles
L0y.7.3,No,Yes,Rambles
L0y.8.1,Yes,,
L0y.8.2,No,Yes,Excessive measures
L0y.8.3,No,Yes,Excessive measures
L0y.9.1,No,Yes,Rambles
L0y.9.2,No,Yes,Rambles
L0y.9.3,No,Yes,Rambles
L0y.9.4,No,Yes,Rambles
L0y.9.5,Yes,,
L0y.9.6,Yes,,
L0y.9.7,No,Yes,Rambles
L0y.10.1,Yes,,
L0y.10.2,Yes,,
L0y.10.3,No,Yes,Rambles
L0y.10.4,No,Yes,Rambles
L0y.10.5,No,Yes,Rambles
