M0_iv.#,Present,Hallucination,Hall. Type,Rationale
M0_iv.1.1,Yes,,,
M0_iv.2.1,Yes,,,
M0_iv.2.2,Yes,,,
M0_iv.2.3,No,No,,
M0_iv.3.1,Yes,,,
M0_iv.3.2,No,Yes,Scope misalignment,
M0_iv.3.3,No,Yes,Scope misalignment,
M0_iv.4.1,Yes,,,
M0_iv.4.2,Yes,,,
M0_iv.4.3,Yes,,,
M0_iv.4.4,No,No,,
M0_iv.4.5,No,No,,
M0_iv.4.6,No,No,,
M0_iv.5.1,Yes,,,
M0_iv.5.2,No,No,,
M0_iv.5.3,Yes,,,
M0_iv.6.1,Yes,,,
M0_iv.6.2,Yes,,,
M0_iv.6.3,Yes,,,
M0_iv.6.4,Yes,,,
M0_iv.6.5,Yes,,,
M0_iv.7.1,Yes,,,
M0_iv.7.2,Yes,,,
M0_iv.7.3,No,Yes,Contextual misfit,
M0_iv.7.4,Yes,,,
M0_iv.7.5,No,Yes,Contextual misfit,
M0_iv.8.1,No,Yes,Architectural infeasibility,
M0_iv.8.2,No,Yes,Architectural infeasibility,
M0_iv.8.3,Yes,,,
M0_iv.9.1,Yes,,,
M0_iv.9.2,Yes,,,
M0_iv.9.3,Yes,,,
M0_iv.9.4,Yes,,,
M0_iv.10.1,Yes,,,
M0_iv.10.2,Yes,,,
M0_iv.10.3,Yes,,,
M0_iv.10.4,Yes,,,
M0_iv.10.5,Yes,,,
M0_iv.10.6,Yes,,,
