Q0_ii.#,Present,Hallucination,Hall. Type,Rationale
Q0_ii.1.1,Yes,,,
Q0_ii.2.1,Yes,,,
Q0_ii.2.2,Yes,,,
Q0_ii.3.1,Yes,,,
Q0_ii.3.2,No,Yes,Scope misalignment,
Q0_ii.3.3,No,Yes,Contextual misfit,
Q0_ii.4.1,Partial,No,,
Q0_ii.4.2,No,Yes,Template drift,
Q0_ii.4.3,Yes,,,
Q0_ii.4.4,Yes,,,
Q0_ii.5.1,Yes,,,
Q0_ii.5.2,No,No,,
Q0_ii.6.1,Yes,,,
Q0_ii.7.1,Yes,,,
Q0_ii.7.2,Yes,,,
Q0_ii.8.1,Yes,,,
Q0_ii.8.2,Yes,,,
Q0_ii.9.1,Yes,,,
Q0_ii.9.2,Yes,,,
Q0_ii.9.3,Yes,,,
Q0_ii.9.4,No,Yes,Template drift,
Q0_ii.9.5,Yes,,,
Q0_ii.10.1,Yes,,,
Q0_ii.10.2,Yes,,,
Q0_ii.10.3,Yes,,,
Q0_ii.10.4,No,Yes,Template drift,
