;;;H;L0;L1;L2;L3;L4;L5;Q0;Q1;Q2;M0;M1;M2;G0;G1;G2;;Present in..;Req. weight;;E1;E2 (k=2);E3 (k=3);E4 (k=4);E0 (w0,4);
Help messages during the {log-on procedure} must not aid an unauthorized user, e.g., by indicating which {parts of the data} are correct or incorrect;GS.1.1;Employee Auth Info Masking;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial;Yes;Yes;;14,5;4,874261074;;Yes;Yes;Yes;Yes;Yes;
;GS.1.2;Dealer Auth Info Masking;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;0;0;;No;No;No;No;No;
;GS.1.3;Secure User Management Feedback;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
A security incident must be raised if a potential attempted or successful breach of {log-on controls} is detected, and, when the risk of the incident warrants it, the account shall be temporarily restricted, plus an alert shall be sent to the {account owner}, and to the {organization's system administrators}.;GS.2.1;Employee Abnormal Behavior Response;Yes;Yes;Partial;Yes;Yes;Partial;Partial;Partial;Yes;Yes;No;Yes;No;Partial;Yes;Partial;;10;3,761941343;;Yes;Yes;Yes;Yes;Yes;
;GS.2.2;Dealer Abnormal Behavior Response;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;0;0;;No;No;No;No;No;
;GS.2.3;Security Event Logging;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;1;0,669544865;;Yes;No;No;No;Yes;
Physical or logical access controls must be implemented to isolate {sensitive applications, data, or systems}.;GS.3.1;Logical Access Control - Data Isolation;Yes;Partial;Partial;Partial;Yes;No;Yes;Partial;Partial;Partial;Partial;Partial;Partial;Yes;Yes;Yes;;9,5;3,689363864;;Yes;Yes;Yes;Yes;Yes;
;GS.3.2;Physical Access Control;Yes;Yes;Partial;No;Yes;No;No;No;Yes;Yes;No;No;No;No;Partial;No;;5;2,247320396;;Yes;Yes;Yes;Yes;Yes;
;GS.3.3;Local Access Control;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;0;0;;No;No;No;No;No;
;GS.3.4;Frontend Access Control;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;;3;1,50194771;;Yes;Yes;Yes;No;Yes;
;GS.3.5;Actuator Access Control;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;;4;1,850241699;;Yes;Yes;Yes;Yes;Yes;
;GS.3.6;IoT Middleware Platform Isolation;No;No;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;;7;2,419602938;;Yes;Yes;Yes;Yes;Yes;
;GS.3.8;Access Control for System Administration;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;;1;0,398686129;;Yes;No;No;No;No;
{Access to data} must be controlled based on {user identity, group membership, and assigned roles};GS.4.1;Access Control for Vehicle & Material Data;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Partial;No;Partial;Partial;No;No;No;;7,5;2,966033112;;Yes;Yes;Yes;Yes;Yes;
;GS.4.2;Access Control for Requisitions Data;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Partial;Partial;No;No;No;;7;2,658014813;;Yes;Yes;Yes;Yes;Yes;
;GS.4.3;Vehicle Registry Access;Yes;Yes;No;Yes;Yes;Yes;Yes;Partial;No;Partial;No;Partial;Partial;No;No;No;;7;2,931548641;;Yes;Yes;Yes;Yes;Yes;
;GS.4.4;Dock Manager Role for Dock Data;Yes;Yes;No;No;Yes;No;No;Yes;No;No;No;Partial;Partial;No;No;No;;4;2,117308269;;Yes;Yes;Yes;Yes;Yes;
;GS.4.5;Dock Manager Role for Warehouse Inventory;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Partial;No;Partial;Partial;No;Yes;No;;9,5;3,639597976;;Yes;Yes;Yes;Yes;Yes;
;GS.4.6;Role-based Access to AIDC Carriers;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;0;0;;No;No;No;No;No;
;GS.4.7;Role-based Data Access Control;Yes;Partial;Partial;Partial;Partial;Partial;Partial;Yes;Yes;Partial;Yes;Yes;Yes;No;Partial;Partial;;9,5;3,428520326;;Yes;Yes;Yes;Yes;Yes;
;GS.4.8;Employee User Management Function;Yes;Partial;No;No;Yes;No;No;Partial;No;No;No;No;Yes;Partial;No;No;;3,5;1,849377878;;Yes;Yes;Yes;No;Yes;
;GS.4.9;Role-Based Access Control for External Entities;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;1;0,669544865;;Yes;No;No;No;Yes;
;GS.4.10;System Admin Access Control;No;Yes;Yes;No;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;;5;2,215216525;;Yes;Yes;Yes;Yes;Yes;
;GS.4.11;Operations Manager Access Control;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;;2;1,141161221;;Yes;Yes;No;No;Yes;
;GS.4.12;Security Manager Access Control;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;;3;1,417270287;;Yes;Yes;Yes;No;Yes;
;GS.4.14;Logistics Terminal Car Registry Access Control;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;;3;1,43086251;;Yes;Yes;Yes;No;Yes;
;GS.4.15;Plant_Manager_Permissions;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;1;0,48052709;;Yes;No;No;No;No;
;GS.4.16;Finished_Car_Yard_Manager_Permissions;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;1;0,48052709;;Yes;No;No;No;No;
;GS.4.17;Shipping_Manager_Permissions;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;1;0,48052709;;Yes;No;No;No;No;
;GS.4.18;IoT Middleware Platform Access Control;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;;1;0,424257326;;Yes;No;No;No;No;
;GS.4.19;Role-Based Access Control Security;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;;1;0,445469789;;Yes;No;No;No;No;
;GS.4.20;Production Plan Data Store Access Control;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;;2;0,904587769;;Yes;Yes;No;No;Yes;
;GS.4.21;Factory Employee Data Access Control;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
The {organization} shall maintain a record of {all privileges allocated};GS.5.1;Employee Privileges Record;Yes;Yes;Yes;Yes;Yes;Partial;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;14,5;4,886662516;;Yes;Yes;Yes;Yes;Yes;
;GS.5.2;Employee Privileges Record Maintenance;Yes;Partial;No;No;No;No;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;;5,5;2,090529926;;Yes;Yes;Yes;Yes;Yes;
;GS.5.3;Record of Privileges for Factory System Admins;No;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;;4;1,716096985;;Yes;Yes;Yes;Yes;Yes;
;GS.5.4;Car Manufacturer Access Control Record [external entities];No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;;1;0,526274742;;Yes;No;No;No;No;
;GS.5.5;Record of AGV Access Privileges;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;;2;1,047567187;;Yes;Yes;No;No;Yes;
;GS.5.6;Audit Trail for Access and Privilege Changes;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;;3;0,89556027;;Yes;Yes;Yes;No;Yes;
The {organization} shall regularly review {users} with privileged access rights to ensure that their {duties}, {roles}, {responsibilities}, and {competence} still justify such access;GS.6.1;Privileged Access Review;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial;Yes;Yes;Yes;Yes;;14,5;4,903804041;;Yes;Yes;Yes;Yes;Yes;
;GS.6.2;Justification of Privileged Access Rights;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;1;0,669544865;;Yes;No;No;No;Yes;
;GS.6.3;Regular Review of Privileged Access for Logistics Terminal Employees;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;;1;0,471616356;;Yes;No;No;No;No;
;GS.6.4;Competency Validation for Cybersecurity Roles;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;;2;1,02142062;;Yes;Yes;No;No;Yes;
{Connection} of {systems} to the {network} must be restricted and filtered, e.g., using firewalls.;GS.7.1;Internal Network Trust;Yes;Yes;Yes;Yes;Yes;Partial;No;Partial;Partial;Partial;Partial;Partial;Partial;Yes;Yes;Partial;;10;3,76588444;;Yes;Yes;Yes;Yes;Yes;
;GS.7.2;Firewall for Perimeter Network Access;Yes;No;Yes;Yes;Yes;No;No;No;No;Yes;Partial;Partial;Partial;Yes;No;No;;6,5;2,87767706;;Yes;Yes;Yes;Yes;Yes;
;GS.7.3;Limited Access from Perimeter Networks;Yes;No;No;Yes;Yes;No;No;Yes;No;No;No;Yes;No;Yes;No;No;;5;2,42690858;;Yes;Yes;Yes;Yes;Yes;
;GS.7.4;Secure IT Infrastructure Configuration;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;1;0,669544865;;Yes;No;No;No;Yes;
;GS.7.5;Filtered Network Access for IoT Middleware Platforms;No;Yes;No;Yes;Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;No;No;;7;2,80365838;;Yes;Yes;Yes;Yes;Yes;
;GS.7.6;Secure Network Access for AGVs and Robots;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;2;1,245495696;;Yes;Yes;No;No;Yes;
;GS.7.7;Secure Logistics Terminal Connections;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;;1;0,498718813;;Yes;No;No;No;No;
;GS.7.8;Security Manager Oversight;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;;1;0,498718813;;Yes;No;No;No;No;
;GS.7.9;Restricted IoT Device Connections;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
;GS.7.10;Secured Administration System Network Access;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
;GS.7.11;Factory Network Access Restriction;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;;2;0,550632345;;Yes;Yes;No;No;No;
{Network administration channels} must be segregated from {other network traffic};GS.8.1;Maintenance Network Segregation;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;15;4,997660219;;Yes;Yes;Yes;Yes;Yes;
;GS.8.2;Isolation of Network Administration from Logistics Network Traffic;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;2;1,245495696;;Yes;Yes;No;No;Yes;
;GS.8.3;Protection of Administration Channels;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
Implement cryptographic measures to safeguard {information stored} on {mobile user} {endpoint devices} or {storage media} and transmitted over {networks};GS.9.1;Cryptographic Safeguarding of Data Stores;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial;No;Yes;Yes;Yes;Yes;Yes;Yes;;13,5;4,666820676;;Yes;Yes;Yes;Yes;Yes;
;GS.9.2;Cryptographic Safeguarding of RFID Data;Yes;Yes;No;No;Yes;Partial;No;Yes;No;No;Partial;No;No;No;No;No;;4;2,095015873;;Yes;Yes;Yes;Yes;Yes;
;GS.9.3;Network Data Encryption;Yes;Yes;Yes;No;Yes;Partial;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;13,5;4,692170293;;Yes;Yes;Yes;Yes;Yes;
;GS.9.4;Secure Transmission and Storage of Production Plans;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;2;1,245495696;;Yes;Yes;No;No;Yes;
;GS.9.5;Supply Chain Interaction Security;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;;1;0,526274742;;Yes;No;No;No;No;
;GS.9.6;EndpointDeviceDataProtection;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;Yes;Yes;No;No;;5;2,158149992;;Yes;Yes;Yes;Yes;Yes;
;GS.9.7;IoTMiddlewareSecurity;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;;2;1,000208157;;Yes;Yes;No;No;Yes;
;GS.9.8;External Network Communication Security;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;;1;0,445469789;;Yes;No;No;No;No;
Establish a comprehensive key management system, including procedures for generating and protecting {cryptographic keys} and recovering {encrypted data} in case of lost, compromised, or damaged {keys};GS.10.1;Key Management for AIDC Carriers;Yes;No;Yes;Partial;No;No;No;No;No;No;Yes;Yes;Yes;No;No;Yes;;5,5;1,948283917;;Yes;Yes;Yes;Yes;Yes;
;GS.10.2;Key Management for Employee Access;Yes;Yes;Yes;No;Yes;Partial;Partial;No;No;Yes;Yes;No;Yes;Partial;No;No;;7,5;3,198253337;;Yes;Yes;Yes;Yes;Yes;
;GS.10.3;Security Manager for Key Management;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Partial;No;No;Yes;Yes;Yes;;10,5;3,916263243;;Yes;Yes;Yes;Yes;Yes;
;GS.10.4;Secure Key Management for Automated Systems;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;1;0,669544865;;Yes;No;No;No;Yes;
;GS.10.5;Key Recovery;No;No;No;Yes;Yes;No;No;No;Yes;No;No;No;No;Yes;No;No;;4;1,884991594;;Yes;Yes;Yes;Yes;Yes;
;GS.10.6;Key Revocation;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;;2;0,997891098;;Yes;Yes;No;No;Yes;
;GS.10.7;Access-Controlled Key Management;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;;1;0,526274742;;Yes;No;No;No;No;
;GS.10.8;Key-Driven Data Recovery Protocol;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;;2;0,752894264;;Yes;Yes;No;No;Yes;
;GS.10.9;Automatic Key Rotation;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;;1;0,471616356;;Yes;No;No;No;No;
;GS.10.10;Key Usage Monitoring and Reporting;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;;1;0,471616356;;Yes;No;No;No;No;
Total GS requirements;75;Covered;30;31;20;22;41;11;20;19;12;15;18;12;12;17;13;11;;;0;;71;46;35;30;50;
;;Uncovered;45;40;51;50;33;57;52;51;60;54;52;54;55;54;60;61;;;0;;4;29;40;45;25;
;;Partial;0;4;4;3;1;7;3;5;3;6;5;9;8;4;2;3;;;0;;0;0;0;0;0;
;;f2;45%;49%;34%;36%;58%;22%;33%;32%;21%;28%;31%;26%;25%;29%;22%;20%;;;0;;;;;;;
;;Hallucinated requirement name;;;;;;;;;;;;;;;;;;;;;;;;;;
Help messages during the {log-on procedure} must not aid an unauthorized user, e.g., by indicating which {parts of the data} are correct or incorrect;W.1.1;Secure Supply Vehicle Entry;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;;1;0,498718813;;Yes;No;No;No;No;
;W.1.2;Controlled Access Attempt Feedback;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;;3;1,32422098;;Yes;Yes;Yes;No;Yes;
;W.1.3;Secure Access Gate Log-on Procedure;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
;W.1.4;Secure Supply Chain Information Feedback;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
;W.1.5;Secure Authentication Feedback for Finished Car Yard Drivers;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;;1;0,221995407;;Yes;No;No;No;No;
A security incident must be raised if a potential attempted or successful breach of {log-on controls} is detected, and, when the risk of the incident warrants it, the account shall be temporarily restricted, plus an alert shall be sent to the {account owner}, and to the {organization's system administrators}.;W.2.1;Supply Vehicle Access Breach Detection;No;No;Yes;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;;4;1,455483741;;Yes;Yes;Yes;Yes;Yes;
;W.2.2;Protection of Sensitive Data Stores;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
