#;Hall.;H. Type;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;Support;Prec. Macro;Prec. Macro Balanced;Prec. Micro A;Prec. Micro B;Optimal numeric
GS.1.1;No;;H.1.1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;P;X;X;X;X;X;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;0,72;0,66;0,66;0,66;0,66;0,75;0,61;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;0,72;0,65;0,65;0,65;0,65;0,75;0,61;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;0,72;0,49;0,49;0,49;0,49;0,75;0,61;0,68;0,68;0,68;0,68;0,60;0,74;;24;18,49;11,582;18,36;15,59;1,000000
GS.1.2;No;;H.1.2;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,058384
GS.1.3;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;0,000;0,00;0,00;0,000000
L1.1.3;Yes;Scope misalignment;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;;;;;0,80;;;;;;;;;;;;;;;;;;;;;1;0,80;0,800;0,80;0,80;0,048774
L2.1.2;Yes;Scope misalignment;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;1;0,89;0,893;0,89;0,89;0,054391
GS.2.1;No;;H.2.1;X;X;X;X;P;X;P;X;X;P;X;X;;;;X;X;;P;X;X;P;X;P;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;0,72;;;;0,66;0,75;;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;0,72;;;;0,65;0,75;;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;0,72;;;;0,49;0,75;;0,68;0,68;0,68;0,68;0,60;0,74;;20;15,91;10,483;15,79;13,52;0,898373
GS.2.2;No;;H.2.2;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,066114
GS.2.3;No;;;X;;;;;;;;;;;;;;;X;;;;;;;;;;0,89;;;;;;;;;;;;;;;0,66;;;;;;;;;;0,89;;;;;;;;;;;;;;;0,65;;;;;;;;;;0,78;;;;;;;;;;;;;;;0,49;;;;;;;;;;2;1,54;0,386;1,54;1,27;0,112647
"L0_ii.2.1; L0_iii.2.2";Yes;Scope misalignment;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;;;0,89;0,89;;;;;;;;;;;;;;;;;;;;;;;;0,78;0,78;;;;;;;;;;;;;;;;;;;;;;;2;1,77;0,443;1,77;1,55;0,124370
L0_ii.2.3;Yes;Scope misalignment;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,78;;;;;;;;;;;;;;;;;;;;;;;;1;0,89;0,222;0,89;0,78;0,058256
"L0_iii.2.5; L1.2.1. M0_ii.2.2; M0_iii.2.3";Yes;Scope misalignment;;;;X;;X;;;;;;;;;X;X;;;;;;;;;;;;;0,89;;0,80;;;;;;;;;0,66;0,66;;;;;;;;;;;;;0,89;;0,80;;;;;;;;;0,65;0,65;;;;;;;;;;;;;0,78;;0,80;;;;;;;;;0,49;0,49;;;;;;;;;;;4;3,00;1,351;3,00;2,56;0,145425
L2.3.2;Yes;Template drift;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;;;;;;0,89;;;;;;;;;;;;;;;;;;;;1;0,89;0,893;0,89;0,89;0,054391
"M0.2.1; M0_ii.2.1; M0_iii.2.1";Yes;Scope misalignment;;;;;;;;;;;;;;X;X;X;;;X;;;;;;;;;;;;;;;;;;;;0,66;0,66;0,66;;;0,61;;;;;;;;;;;;;;;;;;;;0,65;0,65;0,65;;;0,61;;;;;;;;;;;;;;;;;;;;0,49;0,49;0,49;;;0,61;;;;;;;;4;2,58;1,100;2,57;2,08;0,101627
"Q0_iii.2.4; M0_ii.2.4";Yes;Scope misalignment;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;0,76;;;;;0,66;;;;;;;;;;;;;;;;;;;;0,74;;;;;0,65;;;;;;;;;;;;;;;;;;;;0,49;;;;;0,49;;;;;;;;;;;;2;1,42;0,354;1,39;0,98;0,050247
"M0.2.2; M0_ii.2.3; M2.2.3";Yes;Architectural infeasibility;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;0,66;0,66;;;;;;;;;;;;;;;;;;;;;;;;0,65;0,65;;;;;;;;;;;;;;;;;;;;;;;;0,49;0,49;;;;;;;;;;;;2;1,32;0,329;1,31;0,98;0,055992
M0.2.3;Yes;Architectural infeasibility;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,044781
"M0.2.4; M0_iii.2.5";Yes;Architectural infeasibility;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;0,66;;0,66;;;;;;;;;;;;;;;;;;;;;;;0,65;;0,65;;;;;;;;;;;;;;;;;;;;;;;0,49;;0,49;;;;;;;;;;;2;1,32;0,329;1,31;0,98;0,064107
M0_ii.2.5;Yes;Scope misalignment;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,011211
M0_iii.2.2;Yes;Scope misalignment;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,019326
M0_iii.2.4;Yes;Scope misalignment;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,66;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;1;0,66;0,165;0,65;0,49;0,019326
M2.2.1;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;1;0,61;0,606;0,61;0,61;0,026309
