GS.#,H.#,L0.#.#,L0_ii.#.#,L0_iii.#.#,L0_iv.#.#,L1.#.#,L2.#.#,L3.#.#,L4.#.#,L5.#.#,Q0.#.#,Q0_ii.#.#,Q0_iii.#.#,Q0_iv.#.#,Q1.#.#,Q2.#.#,M0.#.#,M0_ii.#.#,M0_iii.#.#,M0_iv.#.#,M1.#.#,M2.#.#,G0.#.#,G0_ii.#.#,G0_iii.#.#,G0_iv.#.#,G1.#.#,G2.#.#
GS.1.1,H.1.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.1.2,H.1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.1.3,None,None,None,None,None,None,None,L3.1.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.2.1,H.2.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.2.2,H.2.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.2.3,None,L0.2.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,M0_iv.2.3,None,None,None,None,None,None,None,None
GS.3.1,H.3.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.3.2,H.3.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.3.3,H.3.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.3.4,H.3.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.3.5,H.3.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.3.6,None,None,None,None,None,L1.3.3,None,None,None,None,Q0.3.6,None,None,None,Q1.3.8,Q2.3.4,None,None,None,None,M1.3.5,None,None,None,G0_iii.3.3,None,G1.3.3,G2.3.6
GS.3.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,M1.3.4,None,None,None,None,None,None,None
GS.4.1,H.4.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.4.2,H.4.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.4.3,H.4.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.4.4,H.4.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.4.5,H.4.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.4.6,H.4.6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.4.7,H.4.7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.4.8,H.4.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.4.9,None,L0.4.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.4.10,None,L0.4.4,None,None,None,L1.4.2,None,L3.4.7,L4.4.2,None,None,None,None,None,None,None,M0.4.3p,M0_ii.4.1p,M0_iii.4.3p,M0_iv.4.4,None,None,None,None,None,None,None,None
GS.4.11,None,L0.4.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,M0.4.3p,M0_ii.4.1p,M0_iii.4.3p,M0_iv.4.5,None,None,None,None,None,None,None,None
GS.4.12,None,L0.4.6,None,None,None,L1.4.3,None,None,None,None,None,None,None,None,None,None,M0.4.3p,M0_ii.4.1p,M0_iii.4.3p,M0_iv.4.6,None,None,None,None,None,None,None,None
GS.4.14,None,None,None,None,None,None,L2.4.4,L3.4.8,None,L5.4.6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.4.15,None,None,None,None,None,None,None,None,None,None,Q0.4.6,Q0_ii.4.1p,Q0_iii.4.1p,Q0_iv.4.1p,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.4.16,None,None,None,None,None,None,None,None,None,None,Q0.4.8,Q0_ii.4.1p,Q0_iii.4.1p,Q0_iv.4.1p,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GS.4.17,None,None,None,None,None,None,None,None,None,None,Q0.4.9,Q0_ii.4.1p,Q0_iii.4.1p,Q0_iv.4.1p,None,None,None,None,None,None,None,None,None,None,None,None,None,None
