Norm;H.#;Human requirement name;L0;;L1;;L2;;L3;;L4;;L5;;Q0;;Q1;;Q2;;M0;;M1;;M2;;G0;;G1;;G2;
;;;Present;Support;Present;Support;Present;Support;Present;Support;Present;Support;Present;Support;Present;Support;Present;Support;Present;Support;Present;Support;Present;Support;Present;Support;Present;Support;Present;Support;Present;Support
Help messages during the {log-on procedure} must not aid an unauthorized user, e.g., by indicating which {parts of the data} are correct or incorrect;H.1.1;Employee Auth Info Masking;Yes;"L0.1.1; L0.1.2";Yes;"L1.1.1; L1.1.2";Yes;L2.1.1;Yes;"L3.1.1; L3.1.3";Yes;L4.1.2;Yes;"L.5.1.1; L.5.1.2; L.5.1.3";Yes;"Q0.1.1; Q0.1.2";Yes;Q1.1.1;Yes;Q2.1.1;Yes;"M0.1.1; M0.1.2; M0.1.3; M0.1.4; M0.1.5; M0.1.6; M0.1.7; M0.1.8; M0.1.9; M0.1.10";Yes;M1.1.1;Yes;"M2.1.1; M2.1.2; M2.1.3";Partial;G0.1.1;Yes;G1.1.1;Yes;G2.1.1
;H.1.2;Dealer Auth Info Masking;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;
A security incident must be raised if a potential attempted or successful breach of {log-on controls} is detected, and, when the risk of the incident warrants it, the account shall be temporarily restricted, plus an alert shall be sent to the {account owner}, and to the {organization's system administrators}.;H.2.1;Employee Abnormal Behavior Response;Yes;"L0.2.1; L0.1.2";Partial;L1.2.2;Yes;"L2.2.1; L2.2.2; L2.2.3; L2.2.4";Yes;"L3.2.1; L3.2.2; L3.2.3; L3.2.5; L3.2.6; L3.2.7";Partial;"L4.2.2; L4.2.3";Partial;"L5.2.1; L5.2.2";Partial;Q0.2.1;Yes;Q1.2.1;Yes;"Q2.2.1; Q2.2.2";No;;Yes;"M1.2.1; M1.2.2; M1.2.3; M1.2.4";No;;Partial;"G0.2.1; G0.2.3";Yes;"G1.2.1; G1.2.2";Partial;G2.1.1
;H.2.2;Dealer Abnormal Behavior Response;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;
Physical or logical access controls must be implemented to isolate {sensitive applications, data, or systems}.;H.3.1;Logical Access Control - Data Isolation;Partial;L0.3.1;Partial;L1.3.1;Partial;L2.3.1;Yes;"L3.3.5; L3.3.6; L3.3.7";No;;Yes;"L5.1.1; L5.1.2; L5.1.3; L5.1.4";Partial;"Q0.3.3; Q0.3.4; Q0.3.5";Partial;"Q1.3.2; Q1.3.3; Q1.3.4; Q1.3.5";Partial;Q2.3.3;Partial;"M0.3.1; M0.3.2; M0.3.3";Partial;"M1.3.1; M1.3.2; M1.3.3";Partial;"M2.3.1; M2.3.2; M2.3.3";Yes;G0.3.1;Yes;G1.3.1;Yes;"G2.3.1; G2.3.2; G2.3.3; G2.3.4"
;H.3.2;Physical Access Control;Yes;L0.3.2;Partial;L1.3.2;No;;Yes;L3.3.2;No;;No;;No;;Yes;Q1.3.1;Yes;Q2.3.2;No;;No;;No;;No;;Partial;G1.3.2;No;
;H.3.3;Local Access Control;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;
;H.3.4;Frontend Access Control;No;;No;;No;;Yes;"L3.3.14; L3.3.15; L3.3.16; L3.3.17";No;;No;;Yes;Q0.3.1;No;;No;;No;;No;;No;;Yes;G0.3.1;No;;No;
;H.3.5;Actuator Access Control;Yes;L0.3.2;Yes;L1.3.5;No;;Yes;L3.3.2;No;;Yes;L5.1.1;No;;No;;No;;No;;No;;No;;No;;No;;No;
{Access to data} must be controlled based on {user identity, group membership, and assigned roles};H.4.1;Access Control for Vehicle & Material Data;Yes;"L0.4.1; L0.4.2";Yes;L1.4.1;Yes;L2.4.1;Yes;"L3.4.1; L3.4.2";Yes;L4.4.1;No;;Yes;"Q0.4.3; Q0.4.10";No;;Partial;Q2.4.3;No;;Partial;"M1.4.1; M1.4.2; M1.4.3; M1.4.4";Partial;"M2.4.1; M2.4.3";No;;No;;No;
;H.4.2;Access Control for Requisitions Data;Yes;"L0.4.1; L0.4.2";Yes;L1.4.1;Yes;L2.4.5;Yes;"L3.4.1; L3.4.2";Yes;L4.4.1;Yes;L5.4.5;No;;No;;No;;No;;Partial;"M1.4.1; M1.4.2; M1.4.3; M1.4.4";Partial;"M2.4.1; M2.4.3";No;;No;;No;
;H.4.3;Vehicle Registry Access;Yes;"L0.4.1; L0.4.2";No;;Yes;L2.4.3;Yes;L3.4.5;Yes;L4.4.1;Yes;"L5.4.4; L5.4.7";Partial;"Q0.4.8; Q0.4.10";No;;Partial;Q2.4.3;No;;Partial;"M1.4.1; M1.4.2; M1.4.3; M1.4.4";Partial;"M2.4.1; M2.4.3";No;;No;;No;
;H.4.4;Dock Manager Role for Dock Data;Yes;"L0.4.1; L0.4.2";No;;No;;Yes;L3.4.12;No;;No;;Yes;"Q0.4.4; Q0.4.10";No;;No;;No;;Partial;"M1.4.1; M1.4.2; M1.4.3; M1.4.4";Partial;"M2.4.1; M2.4.3";No;;No;;No;
;H.4.5;Dock Manager Role for Warehouse Inventory;Yes;"L0.4.1; L0.4.2";Yes;L1.4.1;Yes;L2.4.2;Yes;L3.4.3;Yes;L4.4.1;Yes;L5.4.2;Yes;"Q0.4.5; Q0.4.10";No;;Partial;Q2.4.3;No;;Partial;"M1.4.1; M1.4.2; M1.4.3; M1.4.4";Partial;"M2.4.1; M2.4.3";No;;Yes;G1.4.1;No;
;H.4.6;Role-based Access to AIDC Carriers;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;;No;
;H.4.7;Role-based Data Access Control;Partial;L0.4.1;Partial;L1.4.1;Partial;L2.4.1;Partial;L3.4.11;Partial;L4.4.1;Partial;L5.4.1;Yes;Q0.4.1;Yes;Q1.4.1;Partial;Q2.4.5;Yes;"M0.4.1; M0.4.2; M0.4.3";Yes;"M1.4.1; M1.4.2; M1.4.3; M1.4.4";Yes;M2.4.1;No;;Partial;"G1.4.1; G.1.4.2";Partial;"G2.4.1; G2.4.2; G2.4.3"
;H.4.8;Employee User Management Function;Partial;L0.4.5;No;;No;;Yes;L3.4.9;No;;No;;Partial;Q0.4.12;No;;No;;No;;No;;Yes;M2.4.2;Partial;G0.4.3;No;;No;
The {organization} shall maintain a record of {all privileges allocated};H.5.1;Employee Privileges Record;Yes;"L0.5.1; L0.5.2; L0.5.3";Yes;"L1.5.1; L1.5.2; L1.5.4";Yes;"L2.5.1; L2.5.4";Yes;"L3.5.1; L3.5.4; L3.5.5; L3.5.8; L3.5.9";Partial;"L4.5.2; L4.5.3; L4.5.4; L4.5.5";Yes;"L5.5.1; L5.5.3";Yes;Q0.5.1;Yes;Q1.5.1;Yes;Q2.5.1;Yes;M0.5.1;Yes;"M1.5.1; M1.5.2";Yes;"M2.5.1; M2.5.2; M2.5.3; M2.5.4";Yes;G0.5.1;Yes;G1.5.1;Yes;G2.5.1
;H.5.2;Employee Privileges Record Maintenance;Partial;L0.5.2;No;;No;;No;;No;;Yes;L5.5.2;Yes;Q0.5.1;Yes;Q1.5.1;No;;No;;No;;No;;Yes;G0.5.2;No;;Yes;"G2.5.2; G2.5.3"
The {organization} shall regularly review {users} with privileged access rights to ensure that their {duties}, {roles}, {responsibilities}, and {competence} still justify such access;H.6.1;Privileged Access Review;Yes;L0.6.1;Yes;"L1.6.1; L1.6.2; L1.6.3; L1.6.4; L1.6.5";Yes;L2.6.1;Yes;"L3.6.1; L3.6.2; L3.6.3; L3.6.4; L3.6.5; L3.6.6; L3.6.7";Yes;L4.6.1;Yes;"L5.6.1; L5.6.2; L5.6.3";Yes;Q0.6.1;Yes;Q1.6.1;Yes;Q2.6.1;Yes;M0.6.1;Partial;M1.6.1;Yes;"M2.6.1; M2.6.2";Yes;G0.6.1;Yes;"G1.6.1; G1.6.2; G1.6.3";Yes;G2.6.1
{Connection} of {systems} to the {network} must be restricted and filtered, e.g., using firewalls.;H.7.1;Internal Network Trust;Yes;L0.7.1;Yes;"L1.7.1; L1.7.4";Yes;"L2.7.1; L2.7.2";Yes;"L3.7.2; L3.7.3; L3.7.7; L3.7.9; L3.7.10; L3.7.11; L3.7.12; L3.7.13; L3.7.15; L3.7.16; L3.7.17; L3.7.18; L3.7.19; L3.7.20; L3.7.21; L3.7.22; L3.7.23; L3.7.24; L3.7.25; L3.7.26; L3.7.27; L3.7.28; L3.7.29; L3.7.30; L3.7.31; L3.7.32";Partial;L4.7.3;No;;Partial;Q0.7.1;Partial;Q1.7.1;Partial;Q2.7.1;Partial;M0.7.3;Partial;"M1.6.2; M1.6.3";Partial;"M2.7.1; M2.7.3; M2.7.4";Yes;G0.7.1;Yes;"G1.7.1, G1.7.2; G1.7.3";Partial;"G2.7.1; G2.7.2; G2.7.3; G2.7.4"
;H.7.2;Firewall for Perimeter Network Access;No;;Yes;L1.7.3;Yes;L2.7.4;Yes;L3.7.33;No;;No;;No;;No;;Yes;Q2.7.1;Partial;M0.7.2;Partial;"M1.6.2; M1.6.3";Partial;"M2.7.1; M2.7.3; M2.7.4";Yes;G0.7.2;No;;No;
;H.7.3;Limited Access from Perimeter Networks;No;;No;;Yes;L2.7.5;Yes;"L3.7.1; L3.7.14";No;;No;;Yes;Q0.7.1;No;;No;;No;;Yes;M1.6.4;No;;Yes;G0.7.2;No;;No;
{Network administration channels} must be segregated from {other network traffic};H.8.1;Maintenance Network Segregation;Yes;L0.8.1;Yes;"L1.8.1; L1.8.2";Yes;"L2.8.1; L2.8.2";Yes;L3.8.1;Yes;L4.8.1;Yes;L5.8.1;Yes;Q0.8.1;Yes;Q1.8.1;Yes;Q2.8.1;Yes;M0.8.1;Yes;M1.8.1;Yes;M2.8.1;Yes;G0.8.1;Yes;G1.8.1;Yes;G2.8.1
Implement cryptographic measures to safeguard {information stored} on {mobile user} {endpoint devices} or {storage media} and transmitted over {networks};H.9.1;Cryptographic Safeguarding of Data Stores;Yes;"L0.9.1; L0.9.3";Yes;"L1.9.1; L1.9.2; L1.9.3; L1.9.4; L1.9.5; L1.9.6";Yes;"L2.9.1; L2.9.2";Yes;"L3.9.2; L3.9.4; L3.9.6; L3.9.8; L3.9.13; L3.9.14";Yes;"L4.9.2; L4.9.3; L4.9.5";Yes;"L5.9.1; L5.9.3; L5.9.4";Yes;Q0.9.2;Partial;Q1.9.1;No;;Yes;"M0.9.1; M0.9.4; M0.9.6";Yes;"M1.9.1; M1.9.2; M1.9.3";Yes;M2.9.3;Yes;G0.9.4;Yes;"G1.9.1; G1.9.3";Yes;"G2.9.1; G2.9.3"
