H.#,L0b.#
H.1.1,L0b.1.1
H.1.2,None
H.2.1,L0b.2.2
H.2.1,L0b.2.3
H.2.2,None
H.3.1,None
H.3.2,None
H.3.3,None
H.3.4,None
H.3.5,None
H.4.1,L0b.4.2
H.4.1,L0b.4.3
H.4.2,L0b.4.1
H.4.3,L0b.4.4
H.4.4,None
H.4.5,None
H.4.6,None
H.4.7,L0b.4.4
H.4.7,L0b.4.6
H.4.7,L0b.4.7
H.4.8,None
H.5.1,L0b.5.1
H.5.2,None
H.6.1,L0b.6.1
H.6.1,L0b.6.2
H.6.1,L0b.6.3
H.6.1,L0b.6.4
H.6.1,L0b.6.5
H.7.1,L0b.7.1
H.7.2,None
H.7.3,None
H.8.1,L0b.8.1
H.9.1,L0b.9.6
H.9.2,None
H.9.3,L0b.9.5
H.10.1,L0b.10.1
H.10.2,L0b.10.1
H.10.2,L0b.10.2
H.10.3,None
