G0_ii.#,H.#
G0_ii.1.1,H.1.1
G0_ii.1.2,H.1.1
G0_ii.1.3,H.1.1
G0_ii.2.1,H.2.1
G0_ii.2.2,H.2.1
G0_ii.2.3,H.2.1
G0_ii.3.1,H.3.3
G0_ii.3.2,H.3.1
G0_ii.3.3,H.3.3
G0_ii.3.4,H.3.1
G0_ii.3.5,H.3.1
G0_ii.3.6,H.3.3
G0_ii.4.1,H.4.7
G0_ii.4.2,H.4.7
G0_ii.4.3,H.4.8
G0_ii.4.4,H.4.8
G0_ii.5.1,H.5.1
G0_ii.5.1,H.5.2
G0_ii.6.1,H.6.1
G0_ii.6.2,H.6.1
G0_ii.6.3,H.6.1
G0_ii.7.1,H.7.1
G0_ii.7.2,H.7.1
G0_ii.7.3,H.7.1
G0_ii.7.4,H.7.1
G0_ii.7.5,H.7.1
G0_ii.7.5,H.7.3
G0_ii.8.1,H.8.1
G0_ii.9.1,None
G0_ii.9.2,H.9.1
G0_ii.9.3,H.9.3
G0_ii.10.1,H.10.1
G0_ii.10.2,H.10.2
