G0_iii.#,H.#
G0_iii.1.1,H.1.1
G0_iii.1.2,H.1.1
G0_iii.1.3,H.1.1
G0_iii.2.1,H.2.1
G0_iii.2.2,H.2.1
G0_iii.2.3,None
G0_iii.3.1,H.3.1
G0_iii.3.2,None
G0_iii.3.3,None
G0_iii.3.4,H.3.1
G0_iii.3.5,H.3.1
G0_iii.4.1,H.4.7
G0_iii.4.2,H.4.7
G0_iii.4.3,H.4.7
G0_iii.4.4,H.4.7
G0_iii.4.5,H.4.7
G0_iii.4.6,H.4.7
G0_iii.4.7,H.4.7
G0_iii.4.8,H.4.7
G0_iii.4.9,H.4.7
G0_iii.5.1,H.5.1
G0_iii.5.1,H.5.2
G0_iii.5.2,H.5.1
G0_iii.5.2,H.5.2
G0_iii.5.3,None
G0_iii.5.4,None
G0_iii.6.1,H.6.1
G0_iii.6.2,None
G0_iii.7.1,H.7.1
G0_iii.7.2,H.7.2
G0_iii.7.2,H.7.3
G0_iii.8.1,H.8.1
G0_iii.8.2,H.8.1
G0_iii.9.1,H.9.1
G0_iii.9.2,H.9.3
G0_iii.9.3,None
G0_iii.9.4,H.9.3
G0_iii.10.1,None
G0_iii.10.2,H.10.2
G0_iii.10.3,None
G0_iii.10.4,H.10.2
