G0_iv.#,H.#
G0_iv.1.1,H.1.1
G0_iv.2.1,H.2.1
G0_iv.2.2,H.2.1
G0_iv.3.1,H.3.1
G0_iv.3.1,H.3.4
G0_iv.3.2,H.3.1
G0_iv.3.3,None
G0_iv.3.4,H.3.1
G0_iv.3.5,H.3.1
G0_iv.3.6,H.3.2
G0_iv.4.1,None
G0_iv.4.2,None
G0_iv.4.3,H.4.7
G0_iv.5.1,H.5.1
G0_iv.5.1,H5.2
G0_iv.5.2,None
G0_iv.5.3,None
G0_iv.6.1,H.6.1
G0_iv.7.1,H.7.1
G0_iv.7.2,H.7.1
G0_iv.7.2,H.7.2
G0_iv.7.2,H.7.3
G0_iv.7.3,H.7.1
G0_iv.7.4,H.7.1
G0_iv.8.1,H.8.1
G0_iv.9.1,H.9.1
G0_iv.9.2,H.9.3
G0_iv.9.3,None
G0_iv.9.4,H.9.1
G0_iv.9.5,H.9.3
G0_iv.10.1,H.10.1
G0_iv.10.1,H.10.3
G0_iv.10.2,None
G0_iv.10.3,None
G0_iv.10.4,H.10.2
