L0y.#,H.#
L0y.1.1,H.1.1
L0y.1.2,None
L0y.2.1,None
L0y.2.2,H.2.1
L0y.2.3,H.2.1
L0y.3.1,None
L0y.3.2,None
L0y.3.3,None
L0y.3.4,None
L0y.3.5,None
L0y.3.6,None
L0y.3.7,None
L0y.4.1,H.4.2
L0y.4.2,H.4.1
L0y.4.3,H.4.1
L0y.4.4,H.4.7
L0y.4.5,H.4.3
L0y.4.6,H.4.7
L0y.4.7,H.4.7
L0y.5.1,H.5.1
L0y.5.2,None
L0y.6.1,None
L0y.6.2,None
L0y.6.3,None
L0y.6.4,None
L0y.6.5,None
L0y.7.1,H.7.1
L0y.7.2,None
L0y.7.3,None
L0y.8.1,H.9.1
L0y.8.2,None
L0y.8.3,None
L0y.9.1,None
L0y.9.2,None
L0y.9.3,None
L0y.9.4,None
L0y.9.5,H.9.3
L0y.9.6,H.9.1
L0y.9.7,None
L0y.10.1,H.10.1
L0y.10.1,H.10.2
L0y.10.2,H.10.2
L0y.10.3,None
L0y.10.4,None
L0y.10.5,None
