L4.#,H.#
L4.1.1,None
L4.1.2,H.1.1
L4.1.3,None
L4.2.1,None
L4.2.2,H.2.1
L4.2.3,H.2.1
L4.2.4,None
L4.2.5,None
L4.3.1,None
L4.3.2,None
L4.3.3,None
L4.3.4,None
L4.3.5,None
L4.4.1,H.4.1
L4.4.1,H.4.2
L4.4.1,H.4.3
L4.4.1,H.4.5
L4.4.1,H.4.7
L4.4.2,None
L4.5.1,None
L4.5.2,H.5.1
L4.5.3,H.5.1
L4.5.4,H.5.1
L4.5.5,H.5.1
L4.6.1,H.6.1
L4.7.1,None
L4.7.2,None
L4.7.3,H.7.1
L4.8.1,H.8.1
L4.8.2,None
L4.8.3,None
L4.9.1,H.9.2
L4.9.2,H.9.1
L4.9.3,H.9.1
L4.9.4,H.9.3
L4.9.5,H.9.1
L4.10.1,H.10.2
L4.10.2,None
L4.10.3,None
