M0_ii.#,H.#
M0_ii.1.1,H.1.1
M0_ii.2.1,None
M0_ii.2.2,None
M0_ii.2.3,None
M0_ii.2.4,None
M0_ii.2.5,None
M0_ii.3.1,None
M0_ii.3.2,None
M0_ii.3.3,None
M0_ii.4.1,H.4.7
M0_ii.4.2,H.4.7
M0_ii.4.3,H.4.7
M0_ii.4.4,H.4.7
M0_ii.4.5,H.4.7
M0_ii.5.1,H.5.1
M0_ii.5.2,H.5.1
M0_ii.6.1,H.6.1
M0_ii.6.2,H.6.1
M0_ii.6.3,H.6.1
M0_ii.6.4,H.6.1
M0_ii.7.1,None
M0_ii.7.2,None
M0_ii.7.3,H.7.1
M0_ii.7.4,None
M0_ii.7.5,None
M0_ii.8.1,H.8.1
M0_ii.8.2,None
M0_ii.8.3,None
M0_ii.8.4,None
M0_ii.8.5,None
M0_ii.9.1,H.9.1
M0_ii.9.2,H.9.3
M0_ii.9.3,H.9.3
M0_ii.10.1,H.10.1
M0_ii.10.1,H.10.3
M0_ii.10.2,H.10.2
M0_ii.10.3,H.10.2
M0_ii.10.4,H.10.2
M0_ii.10.5,H.10.2
M0_ii.10.6,H.10.2
M0_ii.10.7,H.10.2
