Q0_ii.#,H.#
Q0_ii.1.1,H.1.1
Q0_ii.2.1,H.2.1
Q0_ii.2.2,H.2.1
Q0_ii.3.1,H.3.1
Q0_ii.3.1,H.3.4
Q0_ii.3.2,None
Q0_ii.3.3,None
Q0_ii.4.1,H.4.1
Q0_ii.4.1,H.4.2
Q0_ii.4.1,H.4.3
Q0_ii.4.1,H.4.7
Q0_ii.4.2,None
Q0_ii.4.3,H.4.6
Q0_ii.4.4,H.4.8
Q0_ii.5.1,H.5.1
Q0_ii.5.1,H.5.2
Q0_ii.5.2,None
Q0_ii.6.1,H.6.1
Q0_ii.7.1,H.7.1
Q0_ii.7.1,H.7.3
Q0_ii.7.2,H.7.1
Q0_ii.8.1,H.8.1
Q0_ii.8.2,H.8.1
Q0_ii.9.1,H.9.1
Q0_ii.9.1,H.9.3
Q0_ii.9.2,H.9.1
Q0_ii.9.2,H.9.3
Q0_ii.9.3,H.9.1
Q0_ii.9.3,H.9.3
Q0_ii.9.4,None
Q0_ii.9.5,H.9.1
Q0_ii.9.5,H.9.3
Q0_ii.10.1,H.10.1
Q0_ii.10.2,H.10.1
Q0_ii.10.3,H.10.1
Q0_ii.10.4,None
