Q0.#,H.#
Q0.1.1,H.1.1
Q0.1.2,H.1.1
Q0.2.1,H.2.1
Q0.3.1,H.3.4
Q0.3.2,None
Q0.3.3,H.3.1
Q0.3.4,H.3.1
Q0.3.5,H.3.1
Q0.3.6,None
Q0.3.7,None
Q0.3.8,None
Q0.3.9,None
Q0.4.1,H.4.7
Q0.4.2,None
Q0.4.3,H.4.1
Q0.4.4,H.4.4
Q0.4.5,H.4.5
Q0.4.6,None
Q0.4.7,None
Q0.4.8,None
Q0.4.9,None
Q0.4.10,H.4.1
Q0.4.10,H.4.2
Q0.4.10,H.4.3
Q0.4.10,H.4.4
Q0.4.10,H.4.5
Q0.4.11,None
Q0.4.12,H.4.8
Q0.5.1,H.5.1
Q0.5.1,H.5.2
Q0.6.1,H.6.1
Q0.7.1,H.7.1
Q0.7.1,H.7.3
Q0.8.1,H.8.1
Q0.9.1,H.9.1
Q0.9.2,H.9.3
Q0.9.3,H.9.2
Q0.9.4,None
Q0.10.1,H.10.3
Q0.10.2,None
Q0.10.3,None
Q0.10.4,None
Q0.10.5,None
Q0.10.6,None
Q0.10.7,None
